university,name,university_url,modality,price,location,credits
Facultad de Artes y Comunicación (Villaviciosa) - Universidad Europea de Madrid,Doble Grado: Arte + Diseño. (Menciones: Multimedia y Gráfico),https://www.gradomania.com/facultad-de-artes-y-comunicacion-villaviciosa-universidad-europea-de-madrid-1821_q04.html,Presencial,Información no disponible,C/ Tajo s/nVillaviciosa de Odón (Madrid) 28670España,360 ECTS
Escola Tècnica Superior d'Enginyeria - Universitat de València - Estudi General,Título Oficial de Grado en Ingeniería Multimedia.,https://www.gradomania.com/escola-tecnica-superior-denginyeria-universitat-de-valencia-estudi-general-2636_q04.html,Presencial,Información no disponible,"Camino Vera, s/nValencia / València 46020España",240 ECTS
"Facultad de Diseño ESNE - ESNE Escuela Universitaria de Diseño, Innovación y Tecnología",Grado Universitario en Diseño Multimedia y Gráfico,https://www.gradomania.com/facultad-de-diseno-esne-esne-escuela-universitaria-de-diseno-innovacion-y-tecnologia-3203_q04.html,Presencial,Información no disponible,Madrid 28016España,
Facultad de Artes y Comunicación (Villaviciosa) - Universidad Europea de Madrid,Doble Grado: Comunicación Audiovisual y Multimedia + Artes Escénicas,https://www.gradomania.com/facultad-de-artes-y-comunicacion-villaviciosa-universidad-europea-de-madrid-1821_q04.html,Presencial,Información no disponible,C/ Tajo s/nVillaviciosa de Odón (Madrid) 28670España,360 ECTS
Facultad de Artes y Comunicación (Villaviciosa) - Universidad Europea de Madrid,Doble Grado: Comunicación Audiovisual y Multimedia + Creación Musical,https://www.gradomania.com/facultad-de-artes-y-comunicacion-villaviciosa-universidad-europea-de-madrid-1821_q04.html,Presencial,Información no disponible,C/ Tajo s/nVillaviciosa de Odón (Madrid) 28670España,386 ECTS
Facultad de Artes y Comunicación (Villaviciosa) - Universidad Europea de Madrid,Doble Grado: Comunicación Audiovisual y Multimedia + Dirección y Creación de Empresas,https://www.gradomania.com/facultad-de-artes-y-comunicacion-villaviciosa-universidad-europea-de-madrid-1821_q04.html,Presencial,Información no disponible,C/ Tajo s/nVillaviciosa de Odón (Madrid) 28670España,360 ECTS
CITM Centre de la Imatge i la Tecnologia Multimèdia - CITM Centre de la Imatge i la Tecnologia Multimèdia,Título Oficial de Grado en Multimedia,https://www.gradomania.com/citm-centre-de-la-imatge-i-la-tecnologia-multimedia-citm-centre-de-la-imatge-i-la-tecnologia-multimedia-2671_q04.html,Presencial,Información no disponible,"C/ de la Igualtat, 33Terrassa (Barcelona) 08222España",240 ECTS
Escola Tècnica Superior (ETS) d´Enginyeria Electrònica i Informàtica (EEI) La Salle - Universidad Ramón Llull,Título Oficial de Grado en Ingeniería de Sistemas Audiovisuales + Ingeniería Multimedia,https://www.gradomania.com/escola-tecnica-superior-ets-denginyeria-electronica-i-informatica-eei-la-salle-universidad-ramon-llull-1603_q04.html,Presencial,Información no disponible,BarcelonaEspaña,318 ECTS
Escola Tècnica Superior (ETS) d´Enginyeria Electrònica i Informàtica (EEI) La Salle - Universidad Ramón Llull,Título Oficial de Grado en Ingeniería Informática + Ingeniería Multimedia,https://www.gradomania.com/escola-tecnica-superior-ets-denginyeria-electronica-i-informatica-eei-la-salle-universidad-ramon-llull-1603_q04.html,Presencial,Información no disponible,BarcelonaEspaña,329 ECTS
Escola de Realització Audiovisual i Mutlimèdia - Escola de Realització Audiovisual i Multimèdia (Eram),Título Oficial de Grado en Audiovisual y Multimedia,https://www.gradomania.com/escola-de-realitzacio-audiovisual-i-mutlimedia-escola-de-realitzacio-audiovisual-i-multimedia-eram-3003_q04.html,Presencial,Información no disponible,"C/ St. Antoni, 1,Salt (Girona) 17190España",240 ECTS
Facultad de Ciencias de la Comunicación - Universitat Abat Oliba - CEU,Título Propio de Grado en Diseño Gráfico y Multimedia,https://www.gradomania.com/facultad-de-ciencias-de-la-comunicacion-universitat-abat-oliba-ceu-3563_q04.html,Presencial,Información no disponible,"Bellesguard, 30Barcelona 08022España",240 ECTS
Facultad de Ciencias de la Comunicación - Universidad Nebrija,Grado en Diseño Digital y Multimedia,https://www.gradomania.com/facultad-de-ciencias-de-la-comunicacion-universidad-nebrija-3580_q04.html,Presencial,Información no disponible,Campus de la BerzosaMadrid 28240España,240 ECTS
Facultad de Ciencias de la Comunicación - Universidad Nebrija,Grado en Diseño Digital y Multimedia,https://www.gradomania.com/facultad-de-ciencias-de-la-comunicacion-universidad-nebrija-3580_q04.html,Semipresencial,Información no disponible,Campus de la BerzosaMadrid 28240España,240 ECTS
Facultad de Ciencias Sociales y Humanas - Universidad de Deusto,Título Oficial de Doble Grado en Comunicación y Tecnologías para la Comunicación Audiovisual y Multimedia.,https://www.gradomania.com/facultad-de-ciencias-sociales-y-humanas-universidad-de-deusto-2883_q04.html,Presencial,Información no disponible,Camino de Mundaiz 50Donostia-San Sebastián (Gipuzkoa) 20012España,276 ECTS
Estudios Oficiales UOC - Universitat Oberta de Catalunya UOC,Grado de Multimedia,https://www.gradomania.com/estudios-oficiales-uoc-universitat-oberta-de-catalunya-uoc-2693_q04.html,Online,Información no disponible,Se imparte Online,240 ECTS
Ciclos Formativos de Grado Superior - Ciclos Formativos de Grado Superior,Técnico Superior en Diseño y Edición de Publicaciones Impresas y MultimediaConsulta aquí los centros que lo imparten:centros que imparten el CFGS en Diseño y Edición de Publicaciones Impresas y Multimedia,https://www.gradomania.com/ciclos-formativos-de-grado-superior-ciclos-formativos-de-grado-superior-5270_q04.html,Presencial,Información no disponible,MadridEspaña,2000 Horas
Facultad de Artes y Comunicación (Villaviciosa) - Universidad Europea de Madrid,Doble Grado: Arte + Diseño. (Menciones: Multimedia y Gráfico),https://www.gradomania.com/facultad-de-artes-y-comunicacion-villaviciosa-universidad-europea-de-madrid-1821_q04.html,Presencial,Información no disponible,C/ Tajo s/nVillaviciosa de Odón (Madrid) 28670España,360 ECTS
Escola Tècnica Superior d'Enginyeria - Universitat de València - Estudi General,Título Oficial de Grado en Ingeniería Multimedia.,https://www.gradomania.com/escola-tecnica-superior-denginyeria-universitat-de-valencia-estudi-general-2636_q04.html,Presencial,Información no disponible,"Camino Vera, s/nValencia / València 46020España",240 ECTS
"Facultad de Diseño ESNE - ESNE Escuela Universitaria de Diseño, Innovación y Tecnología",Grado Universitario en Diseño Multimedia y Gráfico,https://www.gradomania.com/facultad-de-diseno-esne-esne-escuela-universitaria-de-diseno-innovacion-y-tecnologia-3203_q04.html,Presencial,Información no disponible,Madrid 28016España,
Facultad de Artes y Comunicación (Villaviciosa) - Universidad Europea de Madrid,Doble Grado: Comunicación Audiovisual y Multimedia + Artes Escénicas,https://www.gradomania.com/facultad-de-artes-y-comunicacion-villaviciosa-universidad-europea-de-madrid-1821_q04.html,Presencial,Información no disponible,C/ Tajo s/nVillaviciosa de Odón (Madrid) 28670España,360 ECTS
Facultad de Artes y Comunicación (Villaviciosa) - Universidad Europea de Madrid,Doble Grado: Comunicación Audiovisual y Multimedia + Creación Musical,https://www.gradomania.com/facultad-de-artes-y-comunicacion-villaviciosa-universidad-europea-de-madrid-1821_q04.html,Presencial,Información no disponible,C/ Tajo s/nVillaviciosa de Odón (Madrid) 28670España,386 ECTS
Facultad de Artes y Comunicación (Villaviciosa) - Universidad Europea de Madrid,Doble Grado: Comunicación Audiovisual y Multimedia + Dirección y Creación de Empresas,https://www.gradomania.com/facultad-de-artes-y-comunicacion-villaviciosa-universidad-europea-de-madrid-1821_q04.html,Presencial,Información no disponible,C/ Tajo s/nVillaviciosa de Odón (Madrid) 28670España,360 ECTS
CITM Centre de la Imatge i la Tecnologia Multimèdia - CITM Centre de la Imatge i la Tecnologia Multimèdia,Título Oficial de Grado en Multimedia,https://www.gradomania.com/citm-centre-de-la-imatge-i-la-tecnologia-multimedia-citm-centre-de-la-imatge-i-la-tecnologia-multimedia-2671_q04.html,Presencial,Información no disponible,"C/ de la Igualtat, 33Terrassa (Barcelona) 08222España",240 ECTS
Escola Tècnica Superior (ETS) d´Enginyeria Electrònica i Informàtica (EEI) La Salle - Universidad Ramón Llull,Título Oficial de Grado en Ingeniería de Sistemas Audiovisuales + Ingeniería Multimedia,https://www.gradomania.com/escola-tecnica-superior-ets-denginyeria-electronica-i-informatica-eei-la-salle-universidad-ramon-llull-1603_q04.html,Presencial,Información no disponible,BarcelonaEspaña,318 ECTS
Escola Tècnica Superior (ETS) d´Enginyeria Electrònica i Informàtica (EEI) La Salle - Universidad Ramón Llull,Título Oficial de Grado en Ingeniería Informática + Ingeniería Multimedia,https://www.gradomania.com/escola-tecnica-superior-ets-denginyeria-electronica-i-informatica-eei-la-salle-universidad-ramon-llull-1603_q04.html,Presencial,Información no disponible,BarcelonaEspaña,329 ECTS
Escola de Realització Audiovisual i Mutlimèdia - Escola de Realització Audiovisual i Multimèdia (Eram),Título Oficial de Grado en Audiovisual y Multimedia,https://www.gradomania.com/escola-de-realitzacio-audiovisual-i-mutlimedia-escola-de-realitzacio-audiovisual-i-multimedia-eram-3003_q04.html,Presencial,Información no disponible,"C/ St. Antoni, 1,Salt (Girona) 17190España",240 ECTS
Facultad de Ciencias de la Comunicación - Universitat Abat Oliba - CEU,Título Propio de Grado en Diseño Gráfico y Multimedia,https://www.gradomania.com/facultad-de-ciencias-de-la-comunicacion-universitat-abat-oliba-ceu-3563_q04.html,Presencial,Información no disponible,"Bellesguard, 30Barcelona 08022España",240 ECTS
Facultad de Ciencias de la Comunicación - Universidad Nebrija,Grado en Diseño Digital y Multimedia,https://www.gradomania.com/facultad-de-ciencias-de-la-comunicacion-universidad-nebrija-3580_q04.html,Presencial,Información no disponible,Campus de la BerzosaMadrid 28240España,240 ECTS
Facultad de Ciencias de la Comunicación - Universidad Nebrija,Grado en Diseño Digital y Multimedia,https://www.gradomania.com/facultad-de-ciencias-de-la-comunicacion-universidad-nebrija-3580_q04.html,Semipresencial,Información no disponible,Campus de la BerzosaMadrid 28240España,240 ECTS
Facultad de Ciencias Sociales y Humanas - Universidad de Deusto,Título Oficial de Doble Grado en Comunicación y Tecnologías para la Comunicación Audiovisual y Multimedia.,https://www.gradomania.com/facultad-de-ciencias-sociales-y-humanas-universidad-de-deusto-2883_q04.html,Presencial,Información no disponible,Camino de Mundaiz 50Donostia-San Sebastián (Gipuzkoa) 20012España,276 ECTS
Estudios Oficiales UOC - Universitat Oberta de Catalunya UOC,Grado de Multimedia,https://www.gradomania.com/estudios-oficiales-uoc-universitat-oberta-de-catalunya-uoc-2693_q04.html,Online,Información no disponible,Se imparte Online,240 ECTS
Ciclos Formativos de Grado Superior - Ciclos Formativos de Grado Superior,Técnico Superior en Diseño y Edición de Publicaciones Impresas y MultimediaConsulta aquí los centros que lo imparten:centros que imparten el CFGS en Diseño y Edición de Publicaciones Impresas y Multimedia,https://www.gradomania.com/ciclos-formativos-de-grado-superior-ciclos-formativos-de-grado-superior-5270_q04.html,Presencial,Información no disponible,MadridEspaña,2000 Horas
